ID_Vuelo,temp,prcp,snow,wdir,wspd,wpgt,pres,coco
18331807,30.6,0.0,,230.0,14.8,,1011.8,
18331809,-5.6,0.0,,20.0,16.6,,1030.5,
18331821,18.9,,,160.0,29.5,,1009.6,
18331831,4.4,,,10.0,7.6,,1014.6,
18331832,0.6,0.0,,90.0,14.8,,1025.4,
18331837,0.6,0.0,,130.0,9.4,,1028.4,
18331838,4.4,,,10.0,7.6,,1014.6,
18331853,4.4,,,10.0,7.6,,1014.6,
18331859,0.6,0.0,,130.0,9.4,,1028.4,
18331868,0.6,0.0,,130.0,9.4,,1028.4,
18331886,19.4,0.3,,110.0,7.6,,1011.1,
18331896,18.3,0.0,,60.0,5.4,,1020.0,
18331929,-5.6,0.0,,20.0,16.6,,1030.5,
18331936,4.4,,,10.0,7.6,,1014.6,
18331947,0.6,0.0,,130.0,9.4,,1028.4,
18331964,19.4,0.3,,110.0,7.6,,1011.1,
18331984,4.4,,,10.0,7.6,,1014.6,
18331985,19.4,14.2,,190.0,0.0,,1010.5,
18331995,24.4,0.0,,160.0,14.8,,1012.5,
18332010,0.6,0.0,,130.0,9.4,,1028.4,
18332023,0.6,0.0,,130.0,9.4,,1028.4,
18332042,0.6,0.0,,130.0,9.4,,1028.4,
18332086,4.4,,,10.0,7.6,,1014.6,
18332087,-5.6,,,30.0,25.9,,1023.8,
18332125,4.4,,,10.0,7.6,,1014.6,
18332135,19.4,0.3,,110.0,7.6,,1011.1,
18332136,4.4,,,10.0,7.6,,1014.6,
18332137,0.6,0.0,,130.0,9.4,,1028.4,
18332145,0.6,0.0,,130.0,9.4,,1028.4,
18332147,0.6,0.0,,130.0,9.4,,1028.4,
18332164,0.6,0.0,,130.0,9.4,,1028.4,
18332181,11.1,,,,0.0,,1018.2,7.0
18332183,-2.2,0.0,,180.0,14.8,,1028.0,
18332185,0.6,0.0,,130.0,9.4,,1028.4,
18332204,-2.2,0.0,,180.0,14.8,,1028.0,
18332207,4.4,,,10.0,7.6,,1014.6,
18332208,0.0,,,170.0,7.6,,,
18332214,4.4,,,10.0,7.6,,1014.6,
18332215,4.4,,,10.0,7.6,,1014.6,
18332227,4.4,,,10.0,7.6,,1014.6,
18332237,0.6,0.0,,130.0,9.4,,1028.4,
18332255,0.0,,,170.0,7.6,,,
18332258,-1.7,0.0,,190.0,14.8,,1028.9,
18332259,19.4,0.3,,110.0,7.6,,1011.1,
18332263,24.4,0.0,,170.0,22.3,,1011.4,
18332268,4.4,,,10.0,7.6,,1014.6,
18332269,0.0,,,170.0,7.6,,,
18332272,4.4,,,10.0,7.6,,1014.6,
18332274,4.4,,,10.0,7.6,,1014.6,
18332279,17.2,0.0,,320.0,13.0,,1016.3,
18332294,4.4,,,10.0,7.6,,1014.6,
18332301,28.9,0.0,,,0.0,,1015.1,
18332312,0.6,0.0,,130.0,9.4,,1028.4,
18332314,-5.6,,,30.0,25.9,,1023.8,
18332331,4.4,,,10.0,7.6,,1014.6,
18332332,0.0,,,170.0,7.6,,,
18332341,0.6,0.0,,130.0,9.4,,1028.4,
18332342,4.4,,,10.0,7.6,,1014.6,
18332343,-2.2,0.0,,180.0,14.8,,1028.0,
18332352,19.4,14.2,,190.0,0.0,,1010.5,
18332353,4.4,,,10.0,7.6,,1014.6,
18332354,-2.2,0.0,,180.0,14.8,,1028.0,
18332364,-1.7,0.0,,190.0,14.8,,1028.9,
18332368,0.6,0.0,,130.0,9.4,,1028.4,
18332381,-5.6,0.0,,20.0,16.6,,1030.5,
18332400,4.4,,,10.0,7.6,,1014.6,
18332415,-5.6,0.0,,20.0,16.6,,1030.5,
18332416,-5.6,,,30.0,25.9,,1023.8,
18332417,4.4,,,10.0,7.6,,1014.6,
18332427,14.4,0.0,,260.0,13.0,,1015.2,
18332447,0.6,0.0,,90.0,14.8,,1025.4,
18332455,25.0,0.0,,170.0,16.6,,1011.8,
18332466,0.6,0.0,,130.0,9.4,,1028.4,
18332488,-1.7,0.0,,190.0,14.8,,1028.9,
18332497,0.6,0.0,,130.0,9.4,,1028.4,
18332504,1.7,0.8,,70.0,14.8,,1022.8,14.0
18332541,0.6,0.0,,130.0,9.4,,1028.4,
18332545,4.4,,,10.0,7.6,,1014.6,
18332552,0.6,,,130.0,20.5,,1023.8,14.0
18332557,19.4,0.3,,110.0,7.6,,1011.1,
18332558,4.4,,,10.0,7.6,,1014.6,
18332567,-1.7,0.0,,190.0,14.8,,1028.9,
18332570,-1.7,0.0,,190.0,14.8,,1028.9,
18332572,-1.7,0.0,,190.0,14.8,,1028.9,
18332574,-1.7,0.0,,190.0,14.8,,1028.9,
18332576,-1.7,0.0,,190.0,14.8,,1028.9,
18332577,-1.7,0.0,,190.0,14.8,,1028.9,
18332579,-1.7,0.0,,190.0,14.8,,1028.9,
18332581,-1.7,0.0,,190.0,14.8,,1028.9,
18332584,-1.7,0.0,,190.0,14.8,,1028.9,
18332585,4.4,,,10.0,7.6,,1014.6,
18332588,13.9,,,340.0,24.1,,1017.3,
18332589,19.4,0.3,,110.0,7.6,,1011.1,
18332592,4.4,,,10.0,7.6,,1014.6,
18332597,4.4,,,10.0,7.6,,1014.6,
18332611,0.6,0.0,,130.0,9.4,,1028.4,
18332613,0.6,0.0,,130.0,9.4,,1028.4,
18332614,0.6,0.0,,130.0,9.4,,1028.4,
18332617,0.6,0.0,,130.0,9.4,,1028.4,
18332618,24.4,0.0,,160.0,14.8,,1012.5,
18332620,0.6,0.0,,130.0,9.4,,1028.4,
18332627,0.6,0.0,,130.0,9.4,,1028.4,
18332630,-1.7,0.0,,190.0,14.8,,1028.9,
18332631,0.6,0.0,,130.0,9.4,,1028.4,
18332633,0.6,0.0,,130.0,9.4,,1028.4,
18332642,0.6,0.0,,130.0,9.4,,1028.4,
18332645,0.6,0.0,,130.0,9.4,,1028.4,
18332650,0.6,0.0,,130.0,9.4,,1028.4,
18332655,24.4,0.0,,190.0,20.5,,1010.7,
18332662,-1.7,0.0,,190.0,14.8,,1028.9,
18332664,-3.3,2.0,,50.0,14.8,,1020.9,14.0
18332669,13.9,,,340.0,24.1,,1017.3,
18332677,-5.6,,,30.0,25.9,,1023.8,
18332683,-1.7,0.0,,190.0,14.8,,1028.9,
18332697,-5.0,0.0,,100.0,7.6,,1025.6,
18332703,-1.7,0.0,,190.0,14.8,,1028.9,
18332710,19.4,14.2,,190.0,0.0,,1010.5,
18332715,16.7,0.0,,360.0,13.0,,1019.6,
18332725,4.4,,,10.0,7.6,,1014.6,
18332922,8.9,0.0,,40.0,9.4,,1018.3,
